#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: DDiscovery
#Serial Number: SN:210321B565AC
#Date Time: 2024-03-17 21:23:40.612.472.220
#Sample rate: 29994Hz
#Samples: 30000

Time (s),SPI MOSI,SPI MISO
-0.28709074,? h0,? h0
-0.2870574,? h0,? h0
-0.28702406,? h0,? h0
-0.28699072,? h0,? h0
-0.28695738,? h0,? h0
-0.28692404,? h0,? h0
-0.2868907,? h0,? h0
-0.28685736,? h0,? h0
-0.28682402,? h0,? h0
-0.28679068,? h0,? h0
-0.28675734,? h0,? h0
-0.286724,? h0,? h0
-0.28669066,? h0,? h0
-0.28665732,? h0,? h0
-0.28662398,? h0,? h0
-0.28659064,? h0,? h0
-0.2865573,? h0,? h0
-0.28652396,? h0,? h0
-0.28649062,? h0,? h0
-0.28645728,? h0,? h0
-0.28642394,? h0,? h0
-0.2863906,? h0,? h0
-0.28635726,? h0,? h0
-0.28632392,? h0,? h0
-0.28629058,? h0,? h0
-0.28625724,? h0,? h0
-0.2862239,? h0,? h0
-0.28619056,? h0,? h0
-0.28615722,? h0,? h0
-0.28612388,? h0,? h0
-0.28609054,? h0,? h0
-0.2860572,? h0,? h0
-0.28602386,? h0,? h0
-0.28599052,? h0,? h0
-0.28595718,? h0,? h0
-0.28592384,? h0,? h0
-0.2858905,? h0,? h0
-0.28585716,? h0,? h0
-0.28582382,? h0,? h0
-0.28579048,? h0,? h0
-0.28575714,? h0,? h0
-0.2857238,? h0,? h0
-0.28569046,? h0,? h0
-0.28565712,X,X
-0.28562378,X,X
-0.28559044,X,X
-0.2855571,X,X
-0.28552376,X,X
-0.28549042,X,X
-0.28545708,X,X
-0.28542374,X,X
-0.2853904,X,X
-0.28535706,X,X
-0.28532372,X,X
-0.28529038,X,X
-0.28525704,X,X
-0.2852237,X,X
-0.28519036,X,X
-0.28515702,X,X
-0.28512368,X,X
-0.28509034,X,X
-0.285057,X,X
-0.28502366,X,X
-0.28499032,X,X
-0.28495698,X,X
-0.28492364,X,X
-0.2848903,X,X
-0.28485696,X,X
-0.28482362,X,X
-0.28479028,X,X
-0.28475694,X,X
-0.2847236,X,X
-0.28469026,X,X
-0.28465692,X,X
-0.28462358,X,X
-0.28459024,X,X
-0.2845569,X,X
-0.28452356,X,X
-0.28449022,hCA,h00
-0.28445688,hCA,h00
-0.28442354,hCA,h00
-0.2843902,hCA,h00
-0.28435686,hCA,h00
-0.28432352,hCA,h00
-0.28429018,hCA,h00
-0.28425684,hCA,h00
-0.2842235,hCA,h00
-0.28419016,hCA,h00
-0.28415682,hCA,h00
-0.28412348,hCA,h00
-0.28409014,hCA,h00
-0.2840568,hCA,h00
-0.28402346,hCA,h00
-0.28399012,hCA,h00
-0.28395678,hCA,h00
-0.28392344,hCA,h00
-0.2838901,hCA,h00
-0.28385676,hCA,h00
-0.28382342,hCA,h00
-0.28379008,hCA,h00
-0.28375674,hCA,h00
-0.2837234,hCA,h00
-0.28369006,hCA,h00
-0.28365672,hCA,h00
-0.28362338,hCA,h00
-0.28359004,hCA,h00
-0.2835567,hCA,h00
-0.28352336,hCA,h00
-0.28349002,hCA,h00
-0.28345668,hCA,h00
-0.28342334,hCA,h00
-0.28339,hCA,h00
-0.28335666,hCA,h00
-0.28332332,hCA,h00
-0.28328998,hCA,h00
-0.28325664,hCA,h00
-0.2832233,hCA,h00
-0.28318996,hCA,h00
-0.28315662,hCA,h00
-0.28312328,hCA,h00
-0.28308994,hCA,h00
-0.2830566,hCA,h00
-0.28302326,hCA,h00
-0.28298992,hCA,h00
-0.28295658,hCA,h00
-0.28292324,hCA,h00
-0.2828899,hCA,h00
-0.28285656,hCA,h00
-0.28282322,hCA,h00
-0.28278988,hCA,h00
-0.28275654,hCA,h00
-0.2827232,hCA,h00
-0.28268986,hCA,h00
-0.28265652,hCA,h00
-0.28262318,hCA,h00
-0.28258984,hCA,h00
-0.2825565,hCA,h00
-0.28252316,hCA,h00
-0.28248982,hCA,h00
-0.28245648,hCA,h00
-0.28242314,hCA,h00
-0.2823898,hCA,h00
-0.28235646,hCA,h00
-0.28232312,hCA,h00
-0.28228978,hCA,h00
-0.28225644,hCA,h00
-0.2822231,hCA,h00
-0.28218976,hCA,h00
-0.28215642,hCA,h00
-0.28212308,hCA,h00
-0.28208974,hCA,h00
-0.2820564,hCA,h00
-0.28202306,hCA,h00
-0.28198972,hCA,h00
-0.28195638,hCA,h00
-0.28192304,hCA,h00
-0.2818897,hCA,h00
-0.28185636,hCA,h00
-0.28182302,hCA,h00
-0.28178968,hCA,h00
-0.28175634,hCA,h00
-0.281723,hCA,h00
-0.28168966,hCA,h00
-0.28165632,hCA,h00
-0.28162298,hCA,h00
-0.28158964,hCA,h00
-0.2815563,hCA,h00
-0.28152296,hCA,h00
-0.28148962,hCA,h00
-0.28145628,hCA,h00
-0.28142294,hCA,h00
-0.2813896,hCA,h00
-0.28135626,hCA,h00
-0.28132292,hCA,h00
-0.28128958,hCA,h00
-0.28125624,hCA,h00
-0.2812229,hCA,h00
-0.28118956,hCA,h00
-0.28115622,hCA,h00
-0.28112288,hCA,h00
-0.28108954,hCA,h00
-0.2810562,hCA,h00
-0.28102286,hCA,h00
-0.28098952,hCA,h00
-0.28095618,hCA,h00
-0.28092284,hCA,h00
-0.2808895,hCA,h00
-0.28085616,hCA,h00
-0.28082282,hCA,h00
-0.28078948,hCA,h00
-0.28075614,hCA,h00
-0.2807228,hCA,h00
-0.28068946,hCA,h00
-0.28065612,hCA,h00
-0.28062278,h00,h00
-0.28058944,h00,h00
-0.2805561,h00,h00
-0.28052276,h00,h00
-0.28048942,h00,h00
-0.28045608,h00,h00
-0.28042274,h00,h00
-0.2803894,h00,h00
-0.28035606,h00,h00
-0.28032272,h00,h00
-0.28028938,h00,h00
-0.28025604,h00,h00
-0.2802227,h00,h00
-0.28018936,h00,h00
-0.28015602,h00,h00
-0.28012268,h00,h00
-0.28008934,h00,h00
-0.280056,h00,h00
-0.28002266,h00,h00
-0.27998932,h00,h00
-0.27995598,h00,h00
-0.27992264,h00,h00
-0.2798893,h00,h00
-0.27985596,h00,h00
-0.27982262,h00,h00
-0.27978928,h00,h00
-0.27975594,h00,h00
-0.2797226,h00,h00
-0.27968926,h00,h00
-0.27965592,h00,h00
-0.27962258,h00,h00
-0.27958924,h00,h00
-0.2795559,h00,h00
-0.27952256,h00,h00
-0.27948922,h00,h00
-0.27945588,h00,h00
-0.27942254,h00,h00
-0.2793892,h00,h00
-0.27935586,h00,h00
-0.27932252,h00,h00
-0.27928918,h00,h00
-0.27925584,h00,h00
-0.2792225,h00,h00
-0.27918916,h00,h00
-0.27915582,h00,h00
-0.27912248,h00,h00
-0.27908914,h00,h00
-0.2790558,h00,h00
-0.27902246,h00,h00
-0.27898912,h00,h00
-0.27895578,h00,h00
-0.27892244,h00,h00
-0.2788891,h00,h00
-0.27885576,h00,h00
-0.27882242,h00,h00
-0.27878908,h00,h00
-0.27875574,h00,h00
-0.2787224,h00,h00
-0.27868906,h00,h00
-0.27865572,h00,h00
-0.27862238,h00,h00
-0.27858904,h00,h00
-0.2785557,h00,h00
-0.27852236,h00,h00
-0.27848902,h00,h00
-0.27845568,h00,h00
-0.27842234,h00,h00
-0.278389,h00,h00
-0.27835566,h00,h00
-0.27832232,h00,h00
-0.27828898,h00,h00
-0.27825564,h00,h00
-0.2782223,h00,h00
-0.27818896,h00,h00
-0.27815562,h00,h00
-0.27812228,h00,h00
-0.27808894,h00,h00
-0.2780556,h00,h00
-0.27802226,h00,h00
-0.27798892,h00,h00
-0.27795558,h00,h00
-0.27792224,h00,h00
-0.2778889,h00,h00
-0.27785556,h00,h00
-0.27782222,h00,h00
-0.27778888,h00,h00
-0.27775554,h00,h00
-0.2777222,h00,h00
-0.27768886,h00,h00
-0.27765552,h00,h00
-0.27762218,h00,h00
-0.27758884,h00,h00
-0.2775555,h00,h00
-0.27752216,h00,h00
-0.27748882,h00,h00
-0.27745548,h00,h00
-0.27742214,h00,h00
-0.2773888,h00,h00
-0.27735546,h00,h00
-0.27732212,h00,h00
-0.27728878,h00,h00
